colony_id,direction,filename,image_path,area,perimeter,ellipticity,major_axis,minor_axis,center_x,center_y,ellipse_angle,centroid_x,centroid_y,max_radius,max_radius_angle,min_radius,min_radius_angle,mean_radius,std_radius,radius_ratio
21,down,21.bmp,./image\down\21.bmp,215815.0,2797.4053194522858,1.0341490871976102,531.53173828125,513.9797973632812,2114.38525390625,1434.6217041015625,92.53763580322266,2115,1435,278.21754078418564,2.2659171353123866,216.8985938174796,21.359926772078378,260.6547452896585,10.506832572688712,1.2827079045902252
22,down,22.bmp,./image\down\22.bmp,561258.0,5425.850182533264,1.0900619356415442,882.0366821289062,809.1619873046875,2177.589111328125,1268.1436767578125,51.53205490112305,2177,1268,462.3126647627123,290.51252944604187,384.8324310657822,69.30454926593673,420.6587650808952,15.68449427352386,1.2013349900951718
23,down,23.bmp,./image\down\23.bmp,33331.5,1014.1391708850861,1.084158644315508,215.42662048339844,198.70396423339844,1918.9500732421875,1452.436279296875,86.24748992919922,1918,1452,118.59595271340417,19.198847283852007,92.91393867445294,81.95710576649469,103.59309769448481,5.242661030079041,1.276406472541591
24,down,24.bmp,./image\down\24.bmp,423861.0,9942.313500881195,2.2001026139905573,1158.3980712890625,526.52001953125,2001.601318359375,1495.3807373046875,58.806888580322266,2018,1478,541.215299118567,320.3977487764804,149.68299836654796,77.26359979520217,353.5279013968176,101.39814187116977,3.615743304347924
25,down,25.bmp,./image\down\25.bmp,294809.5,7112.488914728165,1.0429920704253066,628.2928466796875,602.3946533203125,1862.098388671875,1573.385986328125,67.02753448486328,1860,1575,352.80022675729674,325.859503235322,227.29936207565564,221.96847613954762,300.69841410945816,25.329507903551153,1.5521390976885745
26,down,26.bmp,./image\down\26.bmp,547160.0,7773.348868012428,1.2619503217106052,978.896728515625,775.7014770507812,2133.989501953125,1536.289306640625,71.351318359375,2136,1524,545.8094905734051,161.63144254888502,267.88430338487547,116.85200593731135,431.48281635255586,74.55271269540995,2.0374821655348287
3,down,3.bmp,./image\down\3.bmp,62315.5,3033.162679553032,1.2879464212502594,329.55059814453125,255.87290954589844,2112.58349609375,1423.244140625,9.58190631866455,2111,1424,197.25364381932212,105.58630449147316,97.83659846908007,139.1446237411043,138.22872531659354,22.279736567761258,2.016153943471997
4,down,4.bmp,./image\down\4.bmp,79216.5,4906.044053077698,1.2689862163781718,387.5638732910156,305.4122009277344,2066.973876953125,1495.345947265625,104.88153839111328,2076,1500,231.08656386730925,237.54782389813568,110.9414259868693,207.95096902789015,166.97457049786425,27.177593021063444,2.082960100897387
5,down,5.bmp,./image\down\5.bmp,124834.5,5069.8674274683,1.2517990714817355,467.9915466308594,373.85516357421875,1947.087890625,1638.00732421875,30.41988182067871,1945,1633,290.7593506664919,85.85822466950799,139.91783303067555,96.56629862074631,201.6143954065096,32.026899988267225,2.078072139687483
6,down,6.bmp,./image\down\6.bmp,64062.0,5847.472546219826,1.1363751382110852,340.0229797363281,299.2171936035156,2048.627197265625,1494.0194091796875,102.91475677490234,2057,1503,219.25783908448975,168.6900675259798,73.97972695272672,260.6650015368618,147.2972244825498,28.6548812794755,2.9637557222209834
7,down,7.bmp,./image\down\7.bmp,53972.5,3087.5890853405,1.1480239100156264,298.72991943359375,260.2122802734375,1993.9559326171875,1483.472900390625,126.74236297607422,1996,1480,179.49373248110922,241.00740429609982,92.84934033152847,112.14518003822329,136.55771390038578,18.188745667496637,1.9331718657365546
8,down,8.bmp,./image\down\8.bmp,100992.5,3723.8632519245148,1.1708260479804895,414.3253173828125,353.8743591308594,2107.256591796875,1513.7666015625,50.432167053222656,2102,1516,240.96887765850593,341.86581366132145,112.0044641967453,29.998681539528512,188.30029147831985,24.680960991805,2.1514220829200497
9,down,9.bmp,./image\down\9.bmp,67769.0,1562.8569874763489,1.1117949467641848,319.8201599121094,287.6611022949219,2082.2548828125,1480.1485595703125,77.31600189208984,2081,1481,182.0109886792553,179.37040139158972,110.8873302050329,230.85601358542894,148.9618287316549,15.639656506662371,1.64140473345975
1,up,1.bmp,./image\up\1.bmp,85382.5,2405.113909125328,1.7634918060884885,466.27777099609375,264.4059753417969,2005.569091796875,1583.642822265625,11.770564079284668,2003,1583,260.20376630633154,95.51340002866756,84.29116205154607,41.6335393365702,177.47908906648058,43.30614059126638,3.0869638046656744
10,up,10.bmp,./image\up\10.bmp,189953.5,3972.314043045044,1.0746086189957023,514.9351806640625,479.1839294433594,2080.268310546875,1542.8323974609375,179.6641082763672,2080,1543,291.2387336876742,293.04359780015574,153.3101431738944,344.8759926916894,235.73422494724178,32.56624308272619,1.8996703522566811
11,up,11.bmp,./image\up\11.bmp,59325.0,3876.5322980880737,1.1122998980840193,307.81915283203125,276.74114990234375,2114.01220703125,1378.4932861328125,84.96329498291016,2106,1375,197.88127753782064,11.366717172487695,86.28441342444185,147.78345394142437,137.03521624273174,20.250392544260375,2.293360639359306
12,up,12.bmp,./image\up\12.bmp,468671.5,5332.519228816032,1.1332038723747042,826.06640625,728.9653930664062,1911.397216796875,1446.4544677734375,77.65518188476562,1914,1447,449.86220112385524,136.44109929212215,326.2590994899606,61.23536908805855,382.91094299570307,23.378296762641142,1.3788495150851665
13,up,13.bmp,./image\up\13.bmp,202763.0,4317.468370556831,1.0332136009799624,535.613037109375,518.395263671875,1853.856689453125,1516.9730224609375,5.106062889099121,1845,1517,324.8045566182839,338.88649992163477,177.71043863543863,21.80140948635181,255.74334914375584,28.41106808242927,1.8277179388690794
14,up,14.bmp,./image\up\14.bmp,463798.0,8343.598648071289,1.4266766555924593,937.4107666015625,657.0590209960938,2177.9931640625,1442.4735107421875,102.13558197021484,2175,1449,543.045117830922,180.73857871321076,231.7412350014559,244.98310652189997,384.8016831378751,58.808739535444055,2.343325381119637
15,up,15.bmp,./image\up\15.bmp,272394.5,4917.558771133423,1.197812246939598,674.667236328125,563.2495727539062,2121.298583984375,1489.6761474609375,105.5013656616211,2124,1497,431.723291009415,197.38569288204192,247.72969139770066,184.3987053549955,305.24578617750234,39.08663007357042,1.7427192056536107
16,up,16.bmp,./image\up\16.bmp,198553.0,2607.238799571991,1.114697692364967,531.8064575195312,477.0858154296875,1921.8558349609375,1641.9656982421875,99.95008087158203,1921,1641,276.5248632582611,168.52752674353854,211.3764414498456,110.4925947698703,250.5083259732402,13.012222497488105,1.3082104200522915
17,up,17.bmp,./image\up\17.bmp,66177.5,3104.216502428055,1.1567437243974377,320.77105712890625,277.3052062988281,1986.2166748046875,1346.549072265625,23.083974838256836,1987,1347,181.54062906137568,274.4229114285504,113.46365056704283,55.04934858812487,145.9108035856439,15.087735389924196,1.5999893195231532
18,up,18.bmp,./image\up\18.bmp,241435.5,3846.5739285945892,1.066353815960361,578.2645263671875,542.2820434570312,1745.536376953125,1449.5279541015625,130.902099609375,1747,1452,345.15069172754096,228.8765395459972,255.5621255194126,320.07960786001456,280.0523839845797,13.874069725946285,1.3505549424667123
19,up,19.bmp,./image\up\19.bmp,34971.0,950.0386646986008,1.0664923502736265,219.1549835205078,205.4913787841797,1652.898681640625,1689.80859375,164.3727264404297,1652,1689,119.05040949110591,79.35078034075505,98.48857801796105,119.1676133795778,106.35248222532637,4.713484936008555,1.208773767343814
2,up,2.bmp,./image\up\2.bmp,124140.0,2783.121048808098,2.189123128275652,636.9213256835938,290.9481506347656,1876.6180419921875,1508.8118896484375,102.06409454345703,1883,1508,348.08045047086455,186.2674814048493,61.326992425847855,114.05734945001174,219.6699449079696,74.7129636143326,5.6758115260867905
20,up,20.bmp,./image\up\20.bmp,75568.0,1421.8031651973724,1.0750778040582596,321.53448486328125,299.0802001953125,1791.399658203125,1567.8870849609375,106.49054718017578,1791,1568,169.1685549976709,21.86430274266417,138.70832707519762,298.4126614430726,155.51485689885487,5.831370491987107,1.219599129805379
21,up,21.bmp,./image\up\21.bmp,703015.5,9643.159173488617,1.104713996682095,1008.4171752929688,912.8309936523438,2274.48291015625,1381.4671630859375,133.12606811523438,2274,1381,604.9504111908677,235.57440120538715,386.1217424595512,262.7093361795563,473.5798427054985,36.33565912459594,1.5667349042232197
